# Folkets lexikon sv→en (CC BY-SA 2.5)
# 36329 entries from folkets-lexikon.csc.kth.se
-procentig	per cent
arbetslöshets|försäkring	unemployment insurance
arbetslöshets|kassa	unemployment benefit society (fund)
arbetslös|het	unemployment
arbetsmarknadspolitik	zx
arbetsmarknadsstyrelsen	the Labour Market Board
arbetsmarknadsutskottet	Labour Market Committee
arbetsmarknads|institut (ami)	employability institute
arbetsmarknads|stöd	labour market assistance, unemployment allowance
arbetsmarknads|utbildning	job re-training (scheme), labour market (employment) training
arbetsmaterial	work material
arbetsmetod	way of working
arbetsmiljölagen	the Work Environment Act
arbetsmoral	work ethic
arbetsnarkoman	workaholic
arbetsnormer	labour standards
arbetsoförmögen	incapacitated, unaible to work
arbetsområde	work area
arbetsordning	sequence
arbetsorganisation	work organization
arbetsplikt	Work duties, duty, work obligation
arbetsprestation	performance, weegee, work performance
arbetsprogram	employment scheme, work program
arbetsredskap	equipment, tools of the trade
arbetsrelaterade	work-related
arbetsresultat	work performance
arbetssituation	work situation
arbetsskade|försäkring	occupational (work) injuries insurance (scheme)
arbetsstudier	work studies
arbetssökande	jobseeking
arbetstagarorganisation	labour organisation
arbetstid	working hours
arbetstidslagen	the Working Hours Restriction Act
arbetstillfälle	job opportunity
arbetstimmar	working hours
arbetstvist	Spunk, work conflict
arbetsvilja	a willingness to work
arbetsvillkor	conditions, employment condition, employment conditions, work conditions, working conditions
arbets|biträde	work assistant
arbets|för	capable of working, fit for work
arbets|förmedling	agency), employment service (office, jobcentre
arbets|givare	employer
arbets|grupp	(working) team (party)
arbets|kraft	labour, manpower
arbets|marknad	labour market
arbets|namn	working (provisional) name
arbets|nedläggelse	stoppage of work, work (industrial) stoppage
arbets|plats	place of work (employment), workplace
arbets|prövning	assessment of working capacity (capacity for work), physio-therapeutic test
arbets|skada	industrial (occupational) injury
arbets|skygg	lazy, work-shy
arbets|styrka	labour (work) force
arbets|tagare	employee, worker
arbets|terapeut	occupational therapist
arbets|terapi	occupational therapy
arbets|tillstånd	work permit
arbets|träning	vocational training
arbets|vecka	(work week [US]), working-week
arbets|vägledare	employment (vocational) guidance officer
arbets|vägledning	employment (vocational) guidance (counselling)
arbets|vård	vocational rehabilitation
arbetsår	working year
area	area
areal	area
arena	arena
arg	(mad [US]), angry, enraged
argentina	Argentina
argentinare	Argentine, Argentinean
argentinsk	Argentine, Argentinean
argsint	ill-tempered, irascible
argument	argument
argumentation	argumentation
argumentera	argue, argument, bicker, discuss
argumenteringsbar	arguably
aria	aria
ariasång	aria
aristokrat	aristocrat
aristokrati	aristocracy
aristokratisk	aristocratic
arizonaöknen	the arizona desert
ark	ark, sheet
arkad	arcade
arkadgång	arcade, arcade walkway, archway
arkadisk	arcadian, bouchot
arkebusera	execute by a firing squad, shoot
arkeolog	archaeologist, (archeologist [US])
arkeologi	(archeology [US]), archaeology
arkeologisk	arceologic, archaeological
arketyp	archetype
arkipelag	archipelago
arkitekt	architect
arkitektonisk	architectonic, architectonical, architectural, arcitectical
arkitektur	architecture
arkiv	archives
arkivering	archiving, filing
arla	early
arm	arm, miserable, poor, wretched
armadan	armada, the armada
armatur	(electric, lighting) fittings; armature
armaturfabrik	armature manufacturing plant
armbands|ur	wrist-watch
armborst	Crossbow
armbrytning	arm wrestling, armwrestling
armbåga	elbow
armenier	Armenian
armenierna	armenians
armenisk	Armenian
armeniska	Armenian
armera	reinforce
armerade	Prestudy, armed; reinforced, plated, reinforced
armering	reinforcement
armhävning	Push up, pushups
armmuskler	arm muscles
armod	destitution, poverty
arm|band	bracelet
arm|båge	elbow
arm|håla	armpit
armé	army
arméchef	Chief of Army Staff
armékår	army corps
arméofficer	army officer
arméuniform	army uniform
arom	aroma
aromatiska	aromatic
arrangemang	arrangement, organization
arrangera	arrange
arrangör	arranger, organizer
arrendator	leaseholder, tenant
arrende	tenancy, lease, leasehold, rent
arrendehemman	leased homested
arrendera	lease, rent
arrendering	asssessment, fade, lease
arrest	(jail [US]), confinement, custody, detention, gaol, prison
arrestera	arrest
arrogans	arrogance
arrogant	arrogant
arsel	(ass [US]), arse
arsenal	arsenal
arseniktrioxid	arsenic trioxide
arsle	(ass [US]), (asshole [US]), arse, arsehole
art	kind, sort, species, type
art director	art director
arta sig	be looking up, develop (well), promise to be
artanpassad	species-adapted
artificiell	artificial, false, imitation-
artig	courteous, polite
artighet	politeness
artighetsfras	polite expression, polite phrase
artighetsuttryck	politeness expressions
artigt	polite, politeness
artikel	article, commodity, item
artikulera	articulate
artilleri	artillery
artillerield	artillery fire
artilleriskjutskola	artillery shooting academy
artilleristrid	artillery battle
artist	artist, artiste
artistförmedling	artist agency
artistisk	artistic
arton	eighteen
artonhundra|tal	the nineteenth century
artonåring	eighteen-year-old
artrik	rich of species, sprintler
artroskopi	arthroscopy
art|namn	species name, specific name
artär	artery
artärbråck	aneurysm
arushaprocessen	The Arusha Accords
arv	bequest, heredity, inheritance, legacy
arvingar	heirs
arvinge	heir, heiress
arvlös	disinherited
arvode	charge, fee, remuneration
arvsfonden	The (Swedish) State Inheritance Fund
arvsmassa	genetic material
arvsordning	order of succession
arvsrätt	Inheritance Law, inheretance law, right of inheritance, right to inheritance, what
arvstvist	inheritance dispute
arvtagare	[male] heir
arv|skifte	distribution (division) of an estate
arv|synd	original sin
as	Aesir, carcass, carrion
asbest	asbestos
asbestförorening	asbestos contamination, pollution
asbestos	asbestosis
asbestrelaterad	asbest like
asexuell	asexual
asfalt	asphalt
asfaltdjungel	Urban jungle
asfaltera	asphalt
asiat	Asian, Asiatic
asiater	asians
asiaterna	asians, the Asians
asiatisk	Asian, Asiatic
asien	Asia
asjett	[small] plate, side plate
ask	ash, box, packet
aska	ash, knock the ash off
askblond	ash blond
asket	ascetic
asketism	asceticism
askgrå	ash grey
askonsdagen	Ash Wednesday
askorbinsyra	ascorbic acid
ask|fat	ashtray
ask|kopp	ashtray
asocial	anti-social, asocial
asp	aspen
aspekt	aspect
aspirant	applicant, candidate, trainee
aspirera	aspire (to)
ass	insured
assiett	[small] plate, side plate
assimilera	assimilate
assistance	assistens
assistans	assistance, help
assistent	assistant, food processor
assistera	assist, help
association	association
associera	associate, form associations
associerad	associated, medisen
associeringsrådet	association council
assurans	insurance
assurera	insure
assyrier	Assyrian
assyrisk	Assyrian
aster	aster
asterisk	asterisk
asteroid	asteroid
astigmatisk	astigmatic
astma	asthma
astmaattacker	athsma attacks
astmasjuk	asthmatic, astmatic
astralljus	starlight
astrologi	astrology
astronaut	astronaut
astronomi	astronomy
astronomisk	astronomical
asyl	asylum
asylpolitik	asylum policy, refugee policy
asylsökande	asylum seeker
asymmetrisk	assymetrical
asätande	scavanger
at	work permit
atavistisk	atavistic
ateist	atheist
ateistisk	atheistisc
ateljé	studio
atenare	Athenian
atlant-	Atlantic
atlanten	the Atlantic (Ocean)
atlant|pakten	The North Atlantic Treaty
atlas	atlas
atlet	strong man
atmosfär	atmosphere
atmosfäriskt	atmospheric
atom	atom
atombomba	nuke
atomfartyg	Nuclear ships, atom ship, atomic ship, atomic vessel, nuclear power vessel, nuclear ship, nuclear vessel, nuclear vessle
atomfysiker	Nuclear physicists, atomic physicist, nuclear phyiscist, nuclear physicist, rancor, whip
atomkraftverk	atomic power plant, nucelar plant, nuclear power plant, nuclearpowerplant
atomsprängning	atomic blasting, nuclear explosion
atom|bomb	atom (atomic) bomb
atom|kraft	nuclear (atomic) power
atom|vapen	nuclear (atomic) weapon
atonalitet	atonality
atp	ATP
atp-grundande inkomst	subst.
atp-poäng	ATP (supplementary pension) point
atrium	atrium
atrofisk	atrophic
atropin	atropine
att	that, to
att bli inkapabel	incapable, incapacitated, to be incapable
att tårta	to cake (someone)
att.	att.
attaché	attaché
attaché|väska	attaché (dispatch) case
attack	attack
attackera	attack
attackflyg	Attack plane
attentat	(attempted) assassination, attack
attest	authorization, certificate, certification
attestera	attest, authorize, certify
attiralj	equipment, gear, kit, paraphernalia (plur.), tackle
attityd	attitude
attitydundersökning	attitude poll
attrahera	attract
attraktion	attraction
attraktionsförmåga	flavor
attraktionskraft	power of attraction
attraktiv	attractive
attrapp	decoy
attribut	attribute
atypisk	atypical
au pair	au pair
aubergin	eggplant
audiens	audience
audienssal	auditorium
audiologisk	audiological, repulsion
audiovisuella	audio visual, audiovisual
audio|visuell	audio-visual
auditorium	audience, auditorium
augusti	August
auktion	auction
auktionerades	auctioned off, was auctioned off
auktionering	auction
auktionskammare	auction house, auctionhouse
auktionsutropare	auction leader, auctioneer
auktorisera	authorize, licence
auktorisering	authorization
auktoritet	authority
auktoritär	authoritarian
aula	assembly hall, lecture hall
aurikel	auricula
auskultera	sit in on a class as a student teacher
australiensisk	australian
australier	Aussie, Australians
australisk	Australian
autentisering	authentication
autentisk	authentic, genuine
autistisk	autistic
autobiografi	autobiography
autograf	autograph
autokrat	autocrat
automat	automatic (vending) machine, slot machine
automatgevär	automatic rifle
automatisera	automate, automatize
automatiserad	automated, automatic
automatisk	automatic
automatiskt	automatic
automatvapen	machine gun?
automat|låda	automatic gearbox
autonom	autonomous
autonomi	autonomy
autoritär	authoritarian
av	at, by, of, off, off, down
av-hjälpmedel	AV aids
avancera	advance
avancerad	advanced
avantgarde	avant-garde
avart	variant (degenerate) species
avbalka	partition off
avbalkning	partition
avbarkning	Pretended, debarking
avbeställa	cancel
avbeställnings|sedel	cancellation slip
avbetalning	hire purchase payment, instalment
avbetalningarna	absorbenter
avbetalningstiderna	the amortization times
avbetalnings|kontrakt	hire-purchase agreement (contract)
avbetalnings|köp	hire-purchase [buying], purchase on the hire-purchase (instalment) plan
avbetning	everywhere
avbild	copy, image, representation
avbilda	depict, draw, paint, reproduce
avboka	cancel
avbokningar	cancellation, cancellations
avborstning	to brush down, groom
avbrott	break, interruption, pause, stoppage
avbruten	broken off, discontinued, interrupted, terminated
avbryta	break off, discontinue, interrupt, terminate
avbräck	(financial) loss, setback
avbröt	broke off, interrupted, discontinued
avbytarbänk	team benches
avböja	decline, refuse
avbön	apology
avd	dept., div.
avdankad	discarded, superannuated
avdela	tell off, detail
avdela, uppdela	compartmentalise
avdelning	department, division
avdelningschef	department manager
avdikning	ditch
avdrag	deduction, reduction, write off
avdrags|gill	tax-deductible
avdramatisera	defuse, play down
avdrift	Slump
avdunsta	depart, evaporate, leave
avel	breeding, rearing
avelshingst	stallion
aveny	avenue
avenyer	avenues
aversion	aversion
avfall	refuse, rubbish, waste
avfallsbehandling	vaste treatment, waste treatment
avfallsdamm	refuse pond, wastepond
avfallsdeponi	garbage dump, landfill
avfallsdumpning	waste, waste disposal
avfallshanterare	waste manager
avfallshantering	waste-management
avfallshanteringsplan	waste management plan
avfallstipp	Landfill, dump, junk yard, junkyard, landfill area, schablon, spy
avfallsåtervinning	disposal-recycling, waste recycling
avfart	exit (road), turn-off
avfolkas	become depopulated
avfolkning	depopulation
avfuktning	de-humidification, dehumidification, dehumidifiers
avfyra	discharge, fire, let off
avfälling	defector, renegade
avfärd	departure
avfärda	dismiss, repudiate
avfärdande	Dismissive
avfärgning	decoloring
avföring	(feces [US]), excrement, faeces
avgas	exhaust (gas)
avgassystem	exhaust system
avge	emit, give, give off
avgick	left, resigned
avgift	charge, fee
avgiftning	detoxification
avgiftningscentrumen	Centrum of detoxication
avgiftsbelagd	subject to a fee
avgiftsbelagd motorväg	turnpike
avgiftsindrivning	fee-collection
avgifts|fri	free (of charge)
avgjord	decided, definite, distinct
avgjorde	concluded, decided, settled
avgjort	concluded, decided, settled
avgjutning	casting
avgradning	enacted
avgrening	branch
avgrund	abyss, chasm, precipice
avgränsa	delimit, demarcate
avgränsad	delimited, demarcated, delimited, grit, limited
avguda	adore, idolize
avgudlig	idolizing
avgå	depart, leave, resign, retire, start
avgång	departure, resignation, retirement
avgångselev	graduate
avgångselever	graduates
avgångshall	departure hall
avgångshallar	departure halls
avgångsklass	graduating class
avgångstid	departure, departure time
avgångstider	Departure time to, departure times
avgångs|betyg	(school-)leaving certificate (marks)
avgångs|bidrag	severance (terminal) payment
avgöra	conclude, decide, settle
avgörande	conclusion, conclusive, decision, decisive, settlement
avhandling	dissertation, thesis, treatise
avhjälpa	remedy, rectify, repair
avhopp	defection
avhoppare	defector
avhugget	decapitate
avhumanisera	dehumanise
avhumaniseringen	dehumanisation
avhysa	eject, evict
avhängig	dependent
avhåll	abstinence
avhålla	deter, prevent, restrain
avi	advice, dispatch note, notice, notification
avidentifiering	disidentifying
avig	awkward, clumsy, purl, wrong
avigvänd	inside out
avig|sida	reverse, wrong (unpleasant) side
avisa	de-icing
avisera	advise, announce, notify
avisning	attainable, de-iceing, deicing
